"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.526540332E0,1.232100010E1,-1.048799992E1,3.950000107E-1,1.618521581E1
1.531521334E0,1.158899975E1,-1.042199993E1,8.389999866E-1,1.560855274E1
1.536502514E0,1.100000000E1,-1.047900009E1,1.222000003E0,1.524148047E1
1.541483516E0,1.042599964E1,-1.051900005E1,1.552999973E0,1.489169700E1
1.546464667E0,9.824000359E0,-1.039200020E1,1.906999946E0,1.442710296E1
1.551445679E0,9.199000359E0,-1.015200043E1,2.232000113E0,1.388043748E1
1.556426831E0,8.595000267E0,-9.911999702E0,2.556999922E0,1.336637633E1
1.561407828E0,8.050000191E0,-9.696999550E0,2.980000019E0,1.295047117E1
1.566388980E0,7.532000065E0,-9.510999680E0,3.542000055E0,1.263866703E1
1.571369982E0,7.086999893E0,-9.342000008E0,4.157000065E0,1.244102814E1
1.576351110E0,6.657999992E0,-9.215999603E0,4.830999851E0,1.235322517E1
1.581332112E0,6.277999878E0,-9.093000412E0,5.561999798E0,1.237060147E1
1.586313264E0,5.961999893E0,-9.005000114E0,6.278999805E0,1.249245005E1
1.591294256E0,5.640999794E0,-8.928999901E0,6.843999863E0,1.258523945E1
1.596275408E0,5.320000172E0,-8.904000282E0,7.291999817E0,1.267899382E1
1.601256396E0,5.091000080E0,-8.994000435E0,7.710000038E0,1.289396860E1
1.606237548E0,4.935999870E0,-9.208999634E0,8.251000404E0,1.331348101E1
1.611218550E0,4.899000168E0,-9.439999580E0,8.715999603E0,1.375072521E1
1.616199697E0,4.932000160E0,-9.711999893E0,8.973999977E0,1.411312308E1
1.621180699E0,4.984000206E0,-1.005799961E1,9.052000046E0,1.442020524E1
1.626161865E0,4.875000000E0,-1.040200043E1,9.114000320E0,1.466397762E1
1.631142867E0,4.664000034E0,-1.071500015E1,9.024000168E0,1.476471143E1
1.636124019E0,4.375999928E0,-1.096199989E1,8.864000320E0,1.476093895E1
1.641105016E0,3.938999891E0,-1.119900036E1,8.656000137E0,1.469216347E1
1.646086168E0,3.493000031E0,-1.147000027E1,8.532999992E0,1.471645488E1
1.651067155E0,3.049000025E0,-1.174899960E1,8.472000122E0,1.480237071E1
1.656048307E0,2.572000027E0,-1.201399994E1,8.572999954E0,1.498157892E1
