"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.553613172E0,-3.155999899E0,-4.494999886E0,2.982000113E0,6.249614708E0
1.558594096E0,-3.082999945E0,-4.500000000E0,2.575000048E0,6.032040609E0
1.563575019E0,-2.970999956E0,-4.610000134E0,2.213999987E0,5.914451615E0
1.568555919E0,-2.901000023E0,-4.793000221E0,1.955999970E0,5.934188077E0
1.573536842E0,-2.957000017E0,-4.955999851E0,1.720000029E0,6.021975068E0
1.578517765E0,-3.108999968E0,-5.024000168E0,1.485000014E0,6.091935942E0
1.583498688E0,-3.309999943E0,-5.107999802E0,1.187000036E0,6.201349102E0
1.588479611E0,-3.477999926E0,-5.157000065E0,7.689999938E-1,6.267574821E0
1.593460538E0,-3.585999966E0,-5.217999935E0,3.330000043E-1,6.340174136E0
1.598441461E0,-3.770999908E0,-5.275000095E0,2.700000070E-2,6.484350030E0
1.603422384E0,-4.056000233E0,-5.263999939E0,-8.999999613E-3,6.645367879E0
1.608403284E0,-4.364999771E0,-5.104000092E0,1.669999957E-1,6.718030138E0
1.613384208E0,-4.541999817E0,-4.920000076E0,4.250000119E-1,6.709455127E0
